County,Facility_Name,Permit_Number,Facility_Type,Facility_Address,Facility_City,Facility_State,Facility_Zip,Dominion,Contact_Name,Contact_Address,Contact_City,Contact_State,Contact_Zip,Manager_Name,Manager_Address,Manager_City,Manager_State,Manager_Zip,Contact_AreaCode,Contact_Phone,Manager_AreaCode,Manager_Phone,Latitude ,Longitude ,Notes
Glynn,Chapman Waste Disposal Transfer Station,PBR-063-17TS,TS,6019 Habersham St. Ext.,Brunswick,GA,31520,Private,,,,,,Gary Williams,6019 Habersham St.,Brunswick,GA,31520,,,912,267-1345,31.20527,-81.50041,
Glynn,"Liberty Roll-offs, Inc.",PBR-063-35TS,TS,5032 Habersham St.,Brusnwick,GA,31520,Private Commercial,Liberty Rentals,3453 Hwy. 17 South,Brunswick,GA,31523,Devant Wainwright,3453 Hwy. 17 South,Brunswick,GA,31523,912,466-9144,912,466-9144,31.194639,-81.49597,
Glynn,Callaway-130 Biomedical Waste Transfer Station,PBR-063-37TS,TS,1201 Cedar St.,Brunswick,GA,31520,Private Commercial,Jack C. Calloway,242 Harbor Pointe Dr.,Brunswick,GA,31523,Jack C. Callaway,242 Harbor Pointe Dr.,Brunswick,GA,31523,912,577-6050,912,577-6050,31.186841,-81.500127,
Glynn,"Liberty Roll-offs, Inc.",PBR-063-18TS,TS,1400 4th Ave.,Brunswick,GA,31520,Private Commercial,,,,,,,,,,,,,,,31.134296,-81.482253,
Greene,Advanced Disposal Services - Carey Station Transfer Station,PBR-066-011TS,TS,2870 Carey Station Rd.,Greensboro,GA,30642,Public,Advanced Disposal Services,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,"Walter H. Hall, Jr.","7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,904,737-7900,904,737-7900,33.540011,-83.256821,
Gwinnett,Rest Haven Transfer Station,PBR-067-059TS,TS,"Tract #5, containing 11.612 acres, more or less, Gwinnett County",Rest Haven,GA,30518,Private,Thomas E. Robinson,4321 S. Lee Ct.,Buford,GA,30518,Thomas E. Robinson,4321 S. Lee Ct.,Buford,GA,30518,770,402-2316,770,402-2316,34.101193,-84.00125,Unable to verify operational status.
Gwinnett,Ruth W. Pruitt,PBR-067-078TS,TS,2492 Hwy. 324,Buford,GA,30518,Private,,,,,,,,,,,,,,,34.059432,-83.942475,Unable to verify operational status.
Gwinnett,"Full Circle Restoration & Construction Services, Inc. Biomedical Waste Transfer Station",PBR-067-803TS,TS,4325 River Green Pkwy.,Duluth,GA,30096,Private Commercial,"Full Service Restoration & Construction Services, Inc.",4325 River Green Pkwy.,Cumming,GA,30096,Orlando Ojeda,4325 River Green Pkwy.,Cumming,GA,30096,770,560-7642,770,232-9797,34.017793,-84.167107,
Gwinnett,Lawrenceville Transfer Center,PBR-067-780TS,TS,2316 Lawrence St.,East Point,GA,30344,Public,,2316 Lawrence St.,East Point,GA,30344-2525,,,,,,770,822-5187,,,33.96877,-83.96762,
Gwinnett,Advanced Disposal Services - Gwinnett Transfer Station,PBR-067-787TS,TS,535 Seaboard Industrial Dr.,Lawrenceville,GA,30126,Private Commercial,Advanced Disposal Services,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,"Walter H. Hall, Jr.","7915 Baymeadows Way, Suite 300",Jacksonville,FL,904,904,737-7900,770,737-7900,33.96833,-83.9675,
Gwinnett,Waste Management - Lawrenceville Transfer Station,PBR-067-784TS,TS,350 Maltbie Industrial Dr.,Lawrenceville,GA,30046,Private Commercial,,,,,,"Waste Management, Inc.",P.O. Box 55,Emelle,AL,35459,205,652-9721,770,513-2442,33.96237,-83.995498,
Gwinnett,"Scientific Waste Systems, Inc.",PBR-067-138TS,TS,2900 Cole Court,Norcross,GA,30071,Private,,,,,,,,,,,,,,,33.950998,-84.204013,Unable to verify operational status.
Gwinnett,"Percy Moore d/b/a Rivertrace Transport, Inc.",PBR-067-017TS,TS,2600 Indian Trail North,Norcross,GA,30091,Private,,,,,,,,,,,,,,,33.936538,-84.178003,Unable to verify operational status.
Gwinnett,BJ Sanitary Landfill & Recycling Center,PBR-067-168TS,TS,6461 Corley Rd.,Norcross,GA,30071,Private,,,,,,,,,,,,,,,33.934115,-84.231845,
Gwinnett,Advanced Disposal Services - Doraville Transfer Station,PBR-067-781TS,TS,2784 Woodwin Rd.,Doraville,GA,30360,Private Commercial,,,,,,,,,,,,,,,33.917871,-84.274644,
Gwinnett,"Univar USA, Inc.",PBR-067-799COL,TS,2145 Skyland Ct.,Norcross,GA,30071,Private,,,,,,,,,,,,,,,33.913865,-84.228017,
Gwinnett,Snellville Recycling Center,PBR-067-766TS,TS,1000 East Park Dr.,Snellville,GA,30078,Public,,,,,,,,,,,,,,,33.843241,-84.012857,Unable to verify operational status.
Hall,Biotrama Transfer Station (biomedical waste),PBR-069-50TS,TS,999 Chestnut St.,Gainesville,GA,30501,Private Commercial,Ryan Sawyer,999 Chestnut St.,Gainesville,GA,30601,Ryan Sawyer,999 Chestnut St.,Gainesville,GA,30501,866,435-7704,866,435-7704,34.289513,-83.813797,
Hall,Republic Services of Georgia Monroe Drive Transfer Station,PBR-069-44TS,TS,2381 Monroe Dr.,Gainesville,GA,30501,Private Commercial,"Republic Services of Georgia, LP",550 Six Flags Pkwy.,Mabelton,GA,30126,Mark Allen,967 Carl Bethlehem Rd.,Winder,GA,30680,770,944-4967,770,867-2499,34.270356,-83.807646,
Hall,Advanced Disposal Services - Hall County Transfer Station,PBR-069-49TS,TS,1 Ruby St.,Gainesville,GA,30501,Private Commercial,Advanced Disposal Services,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,Charles C. Appleby,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,904,737-7900,904,737-7900,34.26944,-83.83833,
Hall,"BDR, Inc.",PBR-069-04TS,TS,1535 Fullenwider Rd.,Gainesville,GA,30507,Private,,,,,,,,,,,,,,,34.257443,-83.804465,Unable to verify operational status.
Hall,Candler Road Landfill Transfer Station,PBR-069-39TS,TS,1700 Oakbrook Dr.,Gainesville,GA,30507,Private,,,,,,,,,,,,,,,34.248605,-83.797663,Unable to verify operational status.
Hall,Progressive Medical Concepts Transfer Station,PBR-069-57TS,TS,"5020 BU Bowman Dr., Suite 600",Buford,GA,30518,Private Commercial,Scott Keiser,4460 Bogan Center Dr.,Buford,GA,30519,Scott Keiser,4460 Bogan Center Dr.,Buford,GA,30519,770,354-9362,770,354-9362,34.1462,-83.9539,
Haralson,Haralson County Solid Waste Transfer Station,PBR-071-02TS,TS,Landfill Rd.,Buchanan,GA,30113,Public,Haralson County Solid Waste Management Authority,4485 Georgia Hwy. 120,Buchanan,GA,30113,Amos Sparks,P.O. Box 489,Buchanan,GA,30113,770,646-2002,770,646-2002,32.746804,-84.816818,
Harris,Harris County Transfer Station,PBR-072-02TS,TS,4070 Barnes Mill Rd.,Hamilton,GA,31811,Public,,,,,,,,,,,,,,,34.746965,-84.811517,
Hart,Hart County Board of Commissioners Transfer Station,PBR-073-04TS,TS,2318 Hickory Crossing Rd.,Hartwell,GA,30643,Public,Hart County,800 Chandler St.,Hartwell,GA,30643,,,,,,706,376-2024,706,376-7333,34.307258,-82.9364,
Henry,"Landfills of Georgia, Inc.",PBR-075-24TS,TS,141 Railroad St.,Stockbridge,GA,30281,Private,,,,,,Gary W. Grizzell,490 Seabolt Rd.,Locust Grove,GA,30248,,,770,506-0016,33.53674,-84.22779,
Henry,Henry County Regional Solid Waste Management Authority,PBR-075-28TS,TS,141 Railroad St.,Stockbridge,GA,30281,Public,,,,,,,,,,,,,,,33.536543,-84.556368,Unable to verify operational status.
Henry,"S&B Rolloff, Inc.",PBR-075-36COL;TS,TS,6995 Hwy. 42 South,Locust Grove,GA,30248,Private Commercial,"S&B Rolloff, Inc.",6995 Hwy. 42 South,Locust Grove,GA,30248,Dennis Slade,1180 Peeksville Rd.,Locust Grove,GA,30248,770,914-7769,770,914-7769,33.320393,-84.054373,
Houston,Warner Robins Transfer Station,PBR-076-25TS,TS,155 Story Rd.,Warner Robins,GA,31093,Private,"Trans Waste Services, LLC",1723 N. Washington St.,Albany,GA,31701,Mike Powell,1723 N. Washington St.,Albany,GA,31701,229,888-2500,229,8882500,32.6585,-83.6228,
Jackson,Jackson County Board of Commissioners Transfer Station,PBR-078-09TS,TS,100 Landfill Dr.,Jefferson,GA,30549,Public,Jackson County Board of Commissioners,67 Athens St.,Jefferson,GA,30549,Tom Page,16 Hendrix Dr.,Jefferson,GA,30549,706,367-6312,706,367-7709,34.14568,-83.55345,
Jackson,Garbage Hound Sanitation,PBR-078-019TS,TS,759 Hwy. 60,Hoschton,GA,30548,Private,Lemuel F. Hayes,P.O. Box 103,Braselton,GA,30517,Lemuel F. Hayes,751 Hwy. 60,Hoschton,GA,30548,706,6582679,706,6582679,34.126397,-83.717723,
Jeff Davis,Jeff Davis County Consolidated Government Transfer Station,PBR-080-04TS,TS,65 Farmers St.,Hazlehurst,GA,31539,Private,City of Hazelhurst,P.O. Box 519,Hazlehurst,GA,31539,Wayne Fountain,P.O. Box 519,Hazelhurst,GA,31539,912,375-6650,912,375-6680,31.862506,-82.579264,
Jenkins,Jenkins County Landfill and Transfer Station,PBR-082-01TS,TS,3199 Paramore Hill Rd.,Millen,GA,30442,Public,Jenkins County Board of Commissioners,P.O. Box 797,Millen,GA,30442,Al Knight,P.O. Box 797,Millen,GA,30442,478,982-2563,478,982-2563,32.794333,-81.914309,
Liberty,Liberty County Transfer Station,PBR-089-11TS,TS,625 Rogers Pasture Rd.,Fleming,GA,31309,Public,Liberty County Board of Commissioners,P.O. Box 829,Hinesville,GA,31310,Dave Sapp,625 Rogers Pasture Rd.,Fleming,GA,31309,912,884-5353,912,884-5353,31.85988,-81.46745,
Lowndes,Valdosta Waste Services d/b/a Allgreen Services,PBR-092-43TS,TS,6751 Union Rd.,Hahira,GA,31632,Private,"Valdosta Waste Services, LLC d/b/a Allgreen Services",115 Joe Underwood Rd.,Twin City,GA,30471,William Sullivan,115 Joe Underwood Rd.,Twin City,GA,30471,478,763-4178,,,30.979594,-83.380132,
Lumpkin,Tritt Transfer Station,PBR-093-07TS,TS,75 Cleveland Hwy.,Murrayville,GA,30564,Private,,,,,,,,,,,,,,,34.522177,-83.885628,Unable to verify operational status.
Lumpkin,400 North Landfill Waste Transfer Station,PBR-093-05TS,TS,2059 Brunt Stand Rd.,Dawsonville,GA,30534,Public,,,,,,,,,,,,,,,34.452834,-83.99152,
McDuffie,City of Thomson Transfer Station,PBR-097-04TS,TS,863 Augusta Rd.,Thomson,GA,30824,Public,,,,,,,,,,,,,404,595-1781,33.45919,-82.48492,
McDuffie,"Georgia Disposal and Recycling, Inc. Transfer Station",PBR-097-06TS,TS,148 Industrial Rd. NE,Thomson,GA,30824,Private,,,,,,,,,,,,,706,597-0329,33.458524,-82.522675,
McDuffie,McDuffie County Transfer Station,PBR-097-08TS,TS,Mesena Rd.,Thomson,GA,30824,Public,McDuffie County,514 Tankersley Dr.,Thomson,GA,30824,Don Clausen,514 Tankersley Dr.,Thomson,GA,30824,706,595-2374,706,595-2374,33.44773,-82.57456,
Meriwether,Bo's Rolloffs,PBR-099-011TS,TS,147 Mary's Mountain Rd.,Manchester,GA,31816,Private,Mel Buffington,P.O. Box 801,Shiloh,GA,30826,Mel Buffington,,,,,706,249-1916,,,32.859854,-84.619925,
Mitchell,"Seminole Sanitation Services, Inc.",PBR-101-10TS,TS,4433 Skyline Dr.,Camilla,GA,31730,Private Commercial,,,,,,,,,,,,,,,31.23459,-84.226131,
Mitchell,"Griffin Waste Service, LLC",PBR-101-12TS,TS,Hwy. 319,Pelham,GA,31779,Private,Kevin Griffin,Hwy. 319,Pelham,GA,31779,,,,,,229,794-2954,,,31.14497,-84.14272,
Monroe,Monroe County Board of Commissioners Transfer Station,PBR-102-06TS,TS,2525 Shi Rd.,Macon,GA,31201,Public,,,,,,,,,,,,,,,32.908922,-83.902749,Unable to verify operational status.
Monroe,Monroe County Board of Commissioners Inert Landfill,PBR-102-07TS,TS,2228 English Rd.,Forsyth,GA,31029,Public,,,,,,,,,,,,,,,33.11517,-83.993595,Unable to verify operational status.
Monroe,Monroe County Board of Commissioners,PBR-102-14TS,TS,43 Blount Rd.,Forsyth,GA,31029,Public,,,,,,,,,,,,,,,33.177247,-83.96439,Unable to verify operational status.
Morgan,Morgan County Transfer Station,PBR-104-07TS,TS,2480 Athens Hwy.,Madison,GA,30650,Public,Morgan County,,,,,Asbury Williams,2480 Athens Hwy.,Madison,GA,,,,706,342-5075,33.631648,-83.453097,
Morgan,Advanced Disposal Services - Madison Transfer Station,PBR-104-08TS,TS,1240 Lions Club Rd.,Madison,GA,30650,Private,,,,,,,,,,,,,,,33.563871,-83.486596,
Muscogee,Advanced Disposal Services -Columbus Transfer Station,PBR-106-14TS,TS,2015 Veterans Pkwy.,Columbus,GA,31904,Private Commercial,Advanced Disposal Services,"90 Fort Wade Rd., Suite 300",Ponte Vedra,FL,32081,Charles N. Gray,"90 Fort Wade Rd., Suite 300",Ponte Vedra,FL,32081,904,737-7900,904,737-7900,32.48268,-84.98645,
Muscogee,"Med Away Disposal Services, Inc. Transfer Station",PBR-106-23TS,TS,"3715 First Ave., Bldg. 5A",Columbus,GA,31904,Private Commercial,"John O. Barwick, III",8233-9 Fox Creek Dr.,Midland,GA,31820,"John O. Barwick, III",8233-9 Fox Creek Dr.,Micland,GA,31820,706,332-4888,706,332-4885,32.460976,-84.987709,
Newton,"Biotran, Inc.",PBR-107-21TS,TS,636 Moore St.,Oxford,GA,30054,Private Commercial,Terry Barnett,55-C Oxford Business Pkwy.,Oxford,GA,30054,Terry Barnett,3260 Hwy. 78,Snellville,GA,30078,770,570-9831,,,33.618705,-83.882564,
Newton,Harris Transfer Station,PBR-107-17TS,TS,8163 Old Atlanta Hwy.,Covington,GA,30014,Private,Jimmy Harris,9101 Old Atlanta Hwy.,Covington,GA,30014,Jimmy Harris,9101 Old Atlanta Hwy.,Covington,GA,30014,770,786-3585,770,786-3585,33.609821,-83.878802,
