PermitNo,Lat,Long
065-006P(INC),30.82555556,-84.17916667
066-007D(SL),33.61117056,-83.09670722
066-008D(SL),33.61117056,-83.09670722
067-008D(SL),34.12916667,-84.01333333
067-016D(SL),34.12943472,-84.03773139
067-019D(L),34.12666667,-84.00805556
067-021D(SL),33.92390333,-84.05155806
067-024D(SL),33.89722222,-84.18611111
067-025D(SL),33.93479361,-84.2388625
067-027D(SL),33.93479361,-84.2388625
067-030D(SL),34.12607944,-84.01611778
067-032D(SL),34.12138056,-84.03926389
067-037D(SL),33.92390333,-84.05155806
067-038P,34.62138889,-84.63361111
067-039P(MRF),33.91,-84.24694444
067-041P(MRF),33.9375,-84.24361111
068-016D(SL),34.52522417,-83.58973111
068-017D(SL),34.52522417,-83.58973111
068-020D(SL),34.55538111,-83.45889028
069-008D(SL),34.25790278,-83.77580028
069-014D(C&D),34.28227861,-83.80205722
069-015D(MSWL),34.24257417,-83.80076417
069-017D(C&D),34.26666667,-83.78333333
069-019P(CO),34.25416667,-83.77944444
070-002D(SL),33.29928194,-82.984825
071-004D(SL),33.70375889,-85.22537028
071-005D(SL),33.70375889,-85.22537028
071-006D(C&D),33.08275278,-85.22656944
072-003D(SL),32.86460389,-85.15673
072-009D(SL),32.74285917,-84.81124722
073-002D(SL),34.31401472,-82.93939806
073-005D(SL),34.31401472,-82.93939806
074-004D(SL),33.30638417,-85.17426278
074-005D(LI),33.39916667,-85.04638889
075-011D(SL),33.43083333,-84.16027778
075-015D(SL),33.43249417,-84.17044194
075-021D(SL),33.43249417,-84.17044194
075-024P(INC),33.42916667,-84.16388889
075-027D(C&D),33.43249417,-84.17044194
076-005D(SL),32.5259575,-83.61385278
076-009D(SL),32.44300167,-83.73380278
076-01D(LI),32.3975,-84.29666667
076-020D(SL),32.39956056,-83.55573
076-022D(L),32.41392333,-83.81254056
076-024D(C&D),32.39960278,-83.55592861
077-003D(SL),31.59581806,-83.14561917
077-004P(INC),31.595,-83.14666667
078-007D(L),34.21584944,-83.45407056
078-008P(RMI),34.05083333,-83.56805556
078-009D(SL),34.14097833,-83.55800028
079-003D(LI),30.33333333,-83.66666667
079-004D(SL),33.31567889,-83.72427861
079-005D(LI),33.28722222,-83.73388889
079-006D(LI),33.27388889,-83.70666667
079-007D(C&D),33.31361111,-83.72333333
080-005D(SL),31.86047972,-82.68708333
080-006D(L),31.86047972,-82.68708333
080-007D(C&D),31.85694444,-82.68166667
081-006D(SL),33.02817167,-82.40570111
081-007D(LI),33.31472222,-82.42305556
081-008D(L),32.85816167,-82.40868611
081-009D(SL),33.18912083,-82.39302944
081-010P(RM),33.08777778,-82.42805556
081-011D(MSWL),33.08861917,-82.42988528
082-002D(SL),32.81772,-81.99393722
082-003D(L),32.79888278,-81.953565
082-004D(SL),32.78856833,-81.91160389
082-005D(SL),32.78856833,-81.91160389
083-002D(SL),32.68231778,-82.7138675
083-004D(SL),32.68231778,-82.7138675
084-002D(SL),32.98589972,-83.53454889
084-006D(SL),32.98589972,-83.53454889
085-004D(SL),33.08608361,-84.20860444
085-005D(L),33.06497556,-84.13438056
085-006D(SL),33.06497556,-84.13438056
085-007D(MSWL),33.08597306,-84.20856278
085-008P(CO),33.08638889,-84.20138889
086-004D(SL),31.06698444,-83.07648944
087-007D(LI),32.49916667,-82.86055556
087-008D(SL),32.56237472,-82.991655
087-009D(SL),32.54220917,-82.88034861
087-014D(LI),32.505,-82.85361111
087-015D(MSWL),32.58805556,-83.05361111
087-015D(SL),32.58805556,-83.05361111
087-016D(LI),32.50526944,-82.8426
088-006D(SL),31.73329222,-84.12047306
089-003D(SL),31.84133667,-81.39816806
089-010D(SL),31.88720389,-81.64353417
089-011D(L),31.84861556,-81.6420225
089-013P(INC),31.84166667,-81.39583333
089-014P(INC),31.84027778,-81.64472222
089-016D(L),31.84133667,-81.39816806
089-017D(L),31.85083333,-81.64166667
089-018P(INC),31.84166667,-81.39583333
089-019P(INC),31.85083333,-81.64166667
089-020D(L),31.88720389,-81.64353417
089-021D(LI),31.73555556,-81.42777778
090-004D(SL),33.82249639,-82.46326528
092-001D(SL),30.85455306,-83.34403722
092-003D(SL),30.98105083,-83.38100278
092-011D(LI),30.8325,-83.24166667
092-014D(SL),30.82390528,-83.35985028
092-015D(SL),30.67240306,-83.31713528
092-016D(L)(I),30.69277778,-83.29805556
092-017P(INC),30.67555556,-83.32555556
092-019D(MSWL),30.81291194,-83.36030167
092-020P(INC),30.85527778,-83.34361111
092-021D(MSWL),30.67555556,-83.32555556
092-022D(MSWL),30.82286306,-83.35995722
092-023P,30.80361111,-83.28305556
093-003D(SL),34.52472528,-83.99924944
093-004D(SL),34.62807306,-84.10058028
093-005D(SL),34.62708083,-84.09682444
094-004D(LI),32.25277778,-84.05833333
094-005D(SL),32.36322139,-84.01438444
094-009D(MSWL),32.36297583,-84.01418222
095-006D(SL),34.09806667,-83.20297639
096-002D(SL),32.24969222,-84.45892306
097-007D(SL),33.44759111,-82.57502611
097-009D(L),33.40811889,-82.48022583
097-010D(L),33.45441389,-82.54079361
097-012D(SL),33.57626972,-82.61458306
098-003D(SL),31.51332167,-81.48258
098-004D(L),31.40859361,-81.43134222
098-005D(L),31.41666667,-81.275
098-006D(C&D),31.50875,-81.47444444
099-006D(SL),32.95049111,-84.67953111
099-011D(SL),32.95049111,-84.67953111
099-012P(COI),32.97027778,-84.67027778
099-014D(SL),32.95049111,-84.67953111
099-015D(SL),32.96593722,-84.78073167
099-017D(L)(I),32.90722222,-84.78
099-018D(L)(I),33.07916667,-84.72527778
099-018D(LI),33.07973611,-84.72454444
099-019D(MSWL),33.18074722,-84.83664444
100-004D(SL),31.19352111,-84.663305
100-005D(L),31.07822556,-84.9070875
100-006P(INC),31.09361111,-84.91111111
101-004D(SL),31.16879778,-84.16919889
101-005D(L),31.36951083,-84.1627325
102-002D(MSWL),33.01871389,-83.95619444
102-002D(SL),33.01849611,-83.95626583
102-004D(LI),33.06555556,-83.79611111
102-005D(SI),33.03888889,-83.82055556
102-007D(LI),33.07083333,-83.80333333
102-008D(SL),33.09571889,-83.91179778
102-009D(LI),33.077,-83.792
103-001D(SL),32.13210278,-82.56528667
104-006D(SL),33.63213861,-83.45310722
104-007D(SL),33.63213861,-83.45310722
104-008D(LI),33.61805556,-83.42444444
104-009D(IN),33.63083333,-83.45361111
105-004D(SL),34.7345075,-84.73722583
105-011D(SL),34.680585,-84.73071139
105-012D(L),34.680585,-84.73071139
105-014D(MSWL),34.68076056,-84.73062806
105-015P,34.62166667,-84.88416667
106-001D(SL),32.37889833,-84.95733722
106-004D(L),32.4678675,-84.87115417
106-011D(SL),32.49741722,-84.86572639
106-015P(INC),32.4875,-84.86944444
106-016D(MSWL),32.48655139,-84.85255944
107-010D(L),33.57431222,-83.88683111
107-011D(SL),33.50324861,-83.85102194
107-013D(SL),33.55161833,-83.89549361
107-013D(SL)(2),33.55158083,-83.89550806
107-015D(MSWL),33.54805556,-83.89166667
108-002D(SL),33.76455639,-83.40044972
108-007D(SL),33.76377944,-83.43591694
108-008P(INC),33.76138889,-83.43805556
109-002D(SL),33.88937389,-83.13413639
109-002D(SL)-(1),33.89029861,-83.1289175
109-003D(C&D),33.88937389,-83.13413639
110-005D(SL),34.01749806,-84.79878444
111-004D(SL),32.57106333,-83.75833389
112-005D(SL),34.54074917,-84.47529278
112-006D(SL),34.54074917,-84.47529278
112-007D(SL),34.54074917,-84.47529278
112-008D(C&D),34.55,-84.52083333
113-001D(SL),31.34935694,-82.21263167
113-005D(L),31.3012175,-82.26468194
114-007D(SL),33.11961278,-84.36487611
114-008P(COI),33.11055556,-84.26555556
114-009D(L),33.11961278,-84.36487611
115-005D(SL),34.00381778,-85.16268778
115-008D(SL),33.99525611,-85.16851167
116-002D(SL),32.29526167,-83.43275361
117-004D(SL),33.33276944,-83.42438111
117-007D(SL),33.33353583,-83.42034611
118-002D(SL),31.88214722,-85.08083167
118-003P(INC),31.88722222,-84.95972222
119-004D(LI),34.95166667,-83.375
119-005D(SL),34.82048611,-83.4192425
119-006D(C&D),34.81237139,-83.41542056
120-002D(SL),31.79606111,-84.75051333
121-010D(SL),33.41246917,-82.16647139
121-011D(SL),33.37348667,-82.04098194
121-012D(L),33.48932111,-81.99388194
121-014D(SL),33.37044167,-82.24288694
121-015D(SL),33.35257194,-82.14324556
121-016D(SL),33.35257194,-82.14324556
121-016D(SL)-(2B),33.35257194,-82.14324556
121-017D(LI),33.30944444,-81.93722222
121-018D(MSWL),32.35166667,-82.13222222
121-019P,33.3533,-84.9688
121-020P(AD),33.27333333,-81.95416667
122-016D(SL),33.73905333,-83.92722972
122-020P(MRF),33.62611111,-83.98861111
122-021P(AD),33.65555556,-83.98972222
123-002D(SL),32.24157389,-84.29076222
123-004D(SL),32.24978806,-84.22983694
123-005P(INC),32.24555556,-84.23083333
124-003D(SL),32.74974194,-81.67937444
124-004P(INC),32.76944444,-81.69805556
124-005D(MSWL),32.74974194,-81.67937444
124-006D(LI),32.60222222,-81.73583333
125-003D(SL),30.92911889,-84.88080889
126-001D(SL),33.25999444,-84.15671722
126-003D(SL),33.25393694,-84.36049611
126-009D(C&D),33.25393694,-84.36049611
126-010D(C&D),33.25,-84.36833333
127-003D(SL),34.54036528,-83.30918556
128-001D(SL),32.03765444,-84.77716139
129-007D(SL),32.07035333,-84.27783528
129-009D(LI),32.18555556,-84.08888889
